Month,Total_Renewable_Generation_MWh,Year
6,145667136.0,2022
7,128889829.0,2022
8,109804732.0,2022
9,119901360.0,2022
10,141645815.0,2022
11,175655079.0,2022
12,166038228.0,2022
1,164478476.0,2023
2,175726286.0,2023
3,185215449.0,2023
4,181149234.0,2023
5,139650997.0,2023
6,120583249.0,2023
7,122535385.0,2023
8,123980047.0,2023
9,123578162.0,2023
10,154972712.0,2023
11,156751427.0,2023
12,163753273.0,2023
